# k P(k) shot_noise
8.89964132e-02 6.31445853e+03 3.05175781e+01
1.50791226e-01 3.56788139e+03 3.05175781e+01
2.14479026e-01 1.83902551e+03 3.05175781e+01
2.78366088e-01 1.41482612e+03 3.05175781e+01
3.43509997e-01 1.01297393e+03 3.05175781e+01
4.04788696e-01 8.51027327e+02 3.05175781e+01
4.67671689e-01 7.41935976e+02 3.05175781e+01
5.31061042e-01 6.39868908e+02 3.05175781e+01
5.94685997e-01 5.71011813e+02 3.05175781e+01
6.58767124e-01 5.50162607e+02 3.05175781e+01
7.20530626e-01 5.00791587e+02 3.05175781e+01
7.82786119e-01 4.50141212e+02 3.05175781e+01
8.47039927e-01 4.53496355e+02 3.05175781e+01
9.09685493e-01 4.03666814e+02 3.05175781e+01
9.72079014e-01 3.77825716e+02 3.05175781e+01
1.03476307e+00 3.56988392e+02 3.05175781e+01
1.09762745e+00 3.36857611e+02 3.05175781e+01
1.16095722e+00 3.25109244e+02 3.05175781e+01
1.22396971e+00 3.03692314e+02 3.05175781e+01
1.28711201e+00 2.91761447e+02 3.05175781e+01
1.35002498e+00 2.72418796e+02 3.05175781e+01
1.41270176e+00 2.61317193e+02 3.05175781e+01
1.47557634e+00 2.57445837e+02 3.05175781e+01
1.53786512e+00 2.43648389e+02 3.05175781e+01
1.60065759e+00 2.31642152e+02 3.05175781e+01
1.66407998e+00 2.25737910e+02 3.05175781e+01
1.72727186e+00 2.13895790e+02 3.05175781e+01
1.78976527e+00 2.08548070e+02 3.05175781e+01
1.85235375e+00 1.98927343e+02 3.05175781e+01
1.91480685e+00 1.92237982e+02 3.05175781e+01
1.97788992e+00 1.87298982e+02 3.05175781e+01
2.04107613e+00 1.81464823e+02 3.05175781e+01
2.10405967e+00 1.75274412e+02 3.05175781e+01
2.16694434e+00 1.65619702e+02 3.05175781e+01
2.22974346e+00 1.61512399e+02 3.05175781e+01
2.29272327e+00 1.57789885e+02 3.05175781e+01
2.35531343e+00 1.49522322e+02 3.05175781e+01
2.41811422e+00 1.48213592e+02 3.05175781e+01
2.48096828e+00 1.41719684e+02 3.05175781e+01
2.54349232e+00 1.35336118e+02 3.05175781e+01
2.60640598e+00 1.29737719e+02 3.05175781e+01
2.66934498e+00 1.28476484e+02 3.05175781e+01
2.73250793e+00 1.25563388e+02 3.05175781e+01
2.79562043e+00 1.24065516e+02 3.05175781e+01
2.85851940e+00 1.20553187e+02 3.05175781e+01
2.92103170e+00 1.15237079e+02 3.05175781e+01
2.98348408e+00 1.14231914e+02 3.05175781e+01
3.04648804e+00 1.10003455e+02 3.05175781e+01
3.10937413e+00 1.06180793e+02 3.05175781e+01
3.17228947e+00 1.06029346e+02 3.05175781e+01
3.23529746e+00 1.02605981e+02 3.05175781e+01
3.29823321e+00 9.98306173e+01 3.05175781e+01
3.36125757e+00 9.71444662e+01 3.05175781e+01
3.42373465e+00 9.43107581e+01 3.05175781e+01
3.48649090e+00 9.34516164e+01 3.05175781e+01
3.54941175e+00 9.05391655e+01 3.05175781e+01
3.61191707e+00 8.85879345e+01 3.05175781e+01
3.67476723e+00 8.73683041e+01 3.05175781e+01
3.73764793e+00 8.54194478e+01 3.05175781e+01
