# k P(k) shot_noise
8.89964132e-02 5.66355950e+03 3.81469727e+00
1.50791226e-01 7.86198295e+03 3.81469727e+00
2.14479026e-01 1.69111313e+03 3.81469727e+00
2.78366088e-01 8.76035123e+02 3.81469727e+00
3.43509997e-01 3.81495770e+02 3.81469727e+00
4.04788696e-01 2.66288963e+02 3.81469727e+00
4.67671689e-01 1.99824547e+02 3.81469727e+00
5.31061042e-01 1.48085310e+02 3.81469727e+00
5.94685997e-01 1.18247020e+02 3.81469727e+00
6.58767124e-01 1.08401916e+02 3.81469727e+00
7.20530626e-01 9.11413676e+01 3.81469727e+00
7.82786119e-01 7.50655933e+01 3.81469727e+00
8.47039927e-01 6.60117683e+01 3.81469727e+00
9.09685493e-01 5.57165768e+01 3.81469727e+00
9.72079014e-01 4.83550901e+01 3.81469727e+00
1.03476307e+00 4.31020068e+01 3.81469727e+00
1.09762745e+00 3.70562293e+01 3.81469727e+00
1.16095722e+00 3.38321370e+01 3.81469727e+00
1.22396971e+00 2.97251171e+01 3.81469727e+00
1.28711201e+00 2.89884884e+01 3.81469727e+00
1.35002498e+00 2.51371111e+01 3.81469727e+00
1.41270176e+00 2.32303661e+01 3.81469727e+00
1.47557634e+00 2.07895440e+01 3.81469727e+00
1.53786512e+00 1.92455860e+01 3.81469727e+00
1.60065759e+00 1.88040741e+01 3.81469727e+00
1.66407998e+00 1.78090610e+01 3.81469727e+00
1.72727186e+00 1.65435842e+01 3.81469727e+00
1.78976527e+00 1.53755024e+01 3.81469727e+00
1.85235375e+00 1.44504065e+01 3.81469727e+00
1.91480685e+00 1.31777134e+01 3.81469727e+00
1.97788992e+00 1.25251481e+01 3.81469727e+00
2.04107613e+00 1.23616199e+01 3.81469727e+00
2.10405967e+00 1.19013205e+01 3.81469727e+00
2.16694434e+00 1.12583637e+01 3.81469727e+00
2.22974346e+00 1.09379476e+01 3.81469727e+00
2.29272327e+00 1.05644480e+01 3.81469727e+00
2.35531343e+00 1.01935078e+01 3.81469727e+00
2.41811422e+00 9.82643599e+00 3.81469727e+00
2.48096828e+00 9.48653270e+00 3.81469727e+00
2.54349232e+00 9.40141347e+00 3.81469727e+00
2.60640598e+00 8.82179545e+00 3.81469727e+00
2.66934498e+00 8.64731391e+00 3.81469727e+00
2.73250793e+00 8.50648565e+00 3.81469727e+00
2.79562043e+00 8.26122681e+00 3.81469727e+00
2.85851940e+00 8.23499234e+00 3.81469727e+00
2.92103170e+00 7.95148654e+00 3.81469727e+00
2.98348408e+00 7.73221313e+00 3.81469727e+00
3.04648804e+00 7.56375701e+00 3.81469727e+00
3.10937413e+00 7.40342018e+00 3.81469727e+00
3.17228947e+00 7.45476693e+00 3.81469727e+00
3.23529746e+00 7.25113618e+00 3.81469727e+00
3.29823321e+00 7.10732256e+00 3.81469727e+00
3.36125757e+00 6.84690447e+00 3.81469727e+00
3.42373465e+00 6.92224102e+00 3.81469727e+00
3.48649090e+00 6.69080748e+00 3.81469727e+00
3.54941175e+00 6.65511540e+00 3.81469727e+00
3.61191707e+00 6.53255051e+00 3.81469727e+00
3.67476723e+00 6.38696029e+00 3.81469727e+00
3.73764793e+00 6.28933913e+00 3.81469727e+00
3.80065416e+00 6.28386349e+00 3.81469727e+00
3.86353999e+00 6.23007709e+00 3.81469727e+00
3.92625634e+00 6.16409793e+00 3.81469727e+00
3.98937047e+00 6.03699559e+00 3.81469727e+00
4.05207712e+00 6.02252171e+00 3.81469727e+00
4.11495262e+00 5.92743778e+00 3.81469727e+00
4.17784953e+00 5.77511299e+00 3.81469727e+00
4.24040399e+00 5.78956748e+00 3.81469727e+00
4.30347653e+00 5.74891834e+00 3.81469727e+00
4.36641519e+00 5.71545017e+00 3.81469727e+00
4.42903206e+00 5.61298201e+00 3.81469727e+00
4.49166335e+00 5.54704883e+00 3.81469727e+00
4.55450209e+00 5.48011016e+00 3.81469727e+00
4.61773506e+00 5.45276875e+00 3.81469727e+00
4.68075301e+00 5.43935902e+00 3.81469727e+00
4.74358845e+00 5.35350175e+00 3.81469727e+00
