# k P(k) shot_noise
8.89964132e-02 6.58736659e+03 7.45058060e-03
1.50791226e-01 3.56255753e+03 7.45058060e-03
2.14479026e-01 1.85979747e+03 7.45058060e-03
2.78366088e-01 1.42494351e+03 7.45058060e-03
3.43509997e-01 1.00064398e+03 7.45058060e-03
4.04788696e-01 8.47873870e+02 7.45058060e-03
4.67671689e-01 7.33070291e+02 7.45058060e-03
5.31061042e-01 6.55452193e+02 7.45058060e-03
5.94685997e-01 5.71105402e+02 7.45058060e-03
6.58767124e-01 5.41877134e+02 7.45058060e-03
7.20530626e-01 4.99222235e+02 7.45058060e-03
7.82786119e-01 4.60122018e+02 7.45058060e-03
8.47039927e-01 4.53820900e+02 7.45058060e-03
9.09685493e-01 4.00754039e+02 7.45058060e-03
9.72079014e-01 3.72581775e+02 7.45058060e-03
1.03476307e+00 3.50322066e+02 7.45058060e-03
1.09762745e+00 3.30726094e+02 7.45058060e-03
1.16095722e+00 3.20411823e+02 7.45058060e-03
1.22396971e+00 2.97646165e+02 7.45058060e-03
1.28711201e+00 2.83234675e+02 7.45058060e-03
1.35002498e+00 2.57654545e+02 7.45058060e-03
1.41270176e+00 2.51796758e+02 7.45058060e-03
1.47557634e+00 2.49434896e+02 7.45058060e-03
1.53786512e+00 2.35349813e+02 7.45058060e-03
1.60065759e+00 2.18524820e+02 7.45058060e-03
1.66407998e+00 2.15230121e+02 7.45058060e-03
1.72727186e+00 2.03864043e+02 7.45058060e-03
1.78976527e+00 1.97602189e+02 7.45058060e-03
1.85235375e+00 1.85133668e+02 7.45058060e-03
1.91480685e+00 1.83299943e+02 7.45058060e-03
1.97788992e+00 1.76361120e+02 7.45058060e-03
