# k P(k) shot_noise
8.89964132e-02 6.57468510e+03 3.81469727e+00
1.50791226e-01 3.54401018e+03 3.81469727e+00
2.14479026e-01 1.84845134e+03 3.81469727e+00
2.78366088e-01 1.40899346e+03 3.81469727e+00
3.43509997e-01 9.88163491e+02 3.81469727e+00
4.04788696e-01 8.34237766e+02 3.81469727e+00
4.67671689e-01 7.16654048e+02 3.81469727e+00
5.31061042e-01 6.35353283e+02 3.81469727e+00
5.94685997e-01 5.54255530e+02 3.81469727e+00
6.58767124e-01 5.22440478e+02 3.81469727e+00
7.20530626e-01 4.83373059e+02 3.81469727e+00
7.82786119e-01 4.41606916e+02 3.81469727e+00
8.47039927e-01 4.38466425e+02 3.81469727e+00
9.09685493e-01 3.85302502e+02 3.81469727e+00
9.72079014e-01 3.60136061e+02 3.81469727e+00
1.03476307e+00 3.39895833e+02 3.81469727e+00
1.09762745e+00 3.20581256e+02 3.81469727e+00
1.16095722e+00 3.10202731e+02 3.81469727e+00
1.22396971e+00 2.87467795e+02 3.81469727e+00
1.28711201e+00 2.73809656e+02 3.81469727e+00
1.35002498e+00 2.50179375e+02 3.81469727e+00
1.41270176e+00 2.41875880e+02 3.81469727e+00
1.47557634e+00 2.40458587e+02 3.81469727e+00
1.53786512e+00 2.26266588e+02 3.81469727e+00
1.60065759e+00 2.09125180e+02 3.81469727e+00
1.66407998e+00 2.06061489e+02 3.81469727e+00
1.72727186e+00 1.95138809e+02 3.81469727e+00
1.78976527e+00 1.89409743e+02 3.81469727e+00
1.85235375e+00 1.76728442e+02 3.81469727e+00
1.91480685e+00 1.73070908e+02 3.81469727e+00
1.97788992e+00 1.67159671e+02 3.81469727e+00
2.04107613e+00 1.59178174e+02 3.81469727e+00
2.10405967e+00 1.51937509e+02 3.81469727e+00
2.16694434e+00 1.44764655e+02 3.81469727e+00
2.22974346e+00 1.41044674e+02 3.81469727e+00
2.29272327e+00 1.38388345e+02 3.81469727e+00
2.35531343e+00 1.29206325e+02 3.81469727e+00
2.41811422e+00 1.26722198e+02 3.81469727e+00
2.48096828e+00 1.19142313e+02 3.81469727e+00
2.54349232e+00 1.13611778e+02 3.81469727e+00
2.60640598e+00 1.08582971e+02 3.81469727e+00
2.66934498e+00 1.06109626e+02 3.81469727e+00
2.73250793e+00 1.03256654e+02 3.81469727e+00
2.79562043e+00 1.00266135e+02 3.81469727e+00
2.85851940e+00 9.74014931e+01 3.81469727e+00
2.92103170e+00 9.28216997e+01 3.81469727e+00
2.98348408e+00 9.05986139e+01 3.81469727e+00
3.04648804e+00 8.62732792e+01 3.81469727e+00
3.10937413e+00 8.25423710e+01 3.81469727e+00
3.17228947e+00 8.13830370e+01 3.81469727e+00
3.23529746e+00 7.84129705e+01 3.81469727e+00
3.29823321e+00 7.56503875e+01 3.81469727e+00
3.36125757e+00 7.36744513e+01 3.81469727e+00
3.42373465e+00 7.01719594e+01 3.81469727e+00
3.48649090e+00 6.91847623e+01 3.81469727e+00
3.54941175e+00 6.72016386e+01 3.81469727e+00
3.61191707e+00 6.44791253e+01 3.81469727e+00
3.67476723e+00 6.29595128e+01 3.81469727e+00
3.73764793e+00 6.10965439e+01 3.81469727e+00
3.80065416e+00 6.05459510e+01 3.81469727e+00
3.86353999e+00 5.80730870e+01 3.81469727e+00
3.92625634e+00 5.68092030e+01 3.81469727e+00
3.98937047e+00 5.46231538e+01 3.81469727e+00
4.05207712e+00 5.38145251e+01 3.81469727e+00
4.11495262e+00 5.20486759e+01 3.81469727e+00
4.17784953e+00 5.07646822e+01 3.81469727e+00
4.24040399e+00 4.99101179e+01 3.81469727e+00
4.30347653e+00 4.87060505e+01 3.81469727e+00
4.36641519e+00 4.72966013e+01 3.81469727e+00
4.42903206e+00 4.62783017e+01 3.81469727e+00
4.49166335e+00 4.46150505e+01 3.81469727e+00
4.55450209e+00 4.35337331e+01 3.81469727e+00
4.61773506e+00 4.31338844e+01 3.81469727e+00
4.68075301e+00 4.15358824e+01 3.81469727e+00
4.74358845e+00 4.12448946e+01 3.81469727e+00
4.80651747e+00 3.97932013e+01 3.81469727e+00
4.86918416e+00 3.93563814e+01 3.81469727e+00
4.93175909e+00 3.83609345e+01 3.81469727e+00
4.99453793e+00 3.70843492e+01 3.81469727e+00
5.05722577e+00 3.64357786e+01 3.81469727e+00
5.11998559e+00 3.56365412e+01 3.81469727e+00
5.18312622e+00 3.48952696e+01 3.81469727e+00
5.24610721e+00 3.38251516e+01 3.81469727e+00
5.30880767e+00 3.31511354e+01 3.81469727e+00
5.37161058e+00 3.24777756e+01 3.81469727e+00
5.43465532e+00 3.18670195e+01 3.81469727e+00
5.49751370e+00 3.10375439e+01 3.81469727e+00
5.55996267e+00 3.06608680e+01 3.81469727e+00
5.62287140e+00 2.98633467e+01 3.81469727e+00
5.68601894e+00 2.93005036e+01 3.81469727e+00
5.74883554e+00 2.85386824e+01 3.81469727e+00
5.81170411e+00 2.80540322e+01 3.81469727e+00
5.87452361e+00 2.72633046e+01 3.81469727e+00
5.93718524e+00 2.72070840e+01 3.81469727e+00
5.99997212e+00 2.63859793e+01 3.81469727e+00
6.06272109e+00 2.58571806e+01 3.81469727e+00
6.12553436e+00 2.52185630e+01 3.81469727e+00
6.18853783e+00 2.51148268e+01 3.81469727e+00
6.25134460e+00 2.43488587e+01 3.81469727e+00
6.31405594e+00 2.40533400e+01 3.81469727e+00
6.37705972e+00 2.36671784e+01 3.81469727e+00
6.43992890e+00 2.32911710e+01 3.81469727e+00
6.50272605e+00 2.29292791e+01 3.81469727e+00
6.56559003e+00 2.24033194e+01 3.81469727e+00
6.62838894e+00 2.19183043e+01 3.81469727e+00
6.69120091e+00 2.15859566e+01 3.81469727e+00
6.75407562e+00 2.12282684e+01 3.81469727e+00
6.81685815e+00 2.08483861e+01 3.81469727e+00
6.87961244e+00 2.03752194e+01 3.81469727e+00
6.94241998e+00 1.99590224e+01 3.81469727e+00
7.00524312e+00 1.97875504e+01 3.81469727e+00
7.06812517e+00 1.94463637e+01 3.81469727e+00
7.13101923e+00 1.91206458e+01 3.81469727e+00
7.19393849e+00 1.88585486e+01 3.81469727e+00
7.25685335e+00 1.85784623e+01 3.81469727e+00
7.31965292e+00 1.82009210e+01 3.81469727e+00
7.38250822e+00 1.80054326e+01 3.81469727e+00
7.44526607e+00 1.76289484e+01 3.81469727e+00
7.50787133e+00 1.73501654e+01 3.81469727e+00
7.57076986e+00 1.70312811e+01 3.81469727e+00
7.63365215e+00 1.67504970e+01 3.81469727e+00
7.69647641e+00 1.65251511e+01 3.81469727e+00
7.75940767e+00 1.63031316e+01 3.81469727e+00
7.82232938e+00 1.60176917e+01 3.81469727e+00
7.88534300e+00 1.57497590e+01 3.81469727e+00
7.94793718e+00 1.55647818e+01 3.81469727e+00
8.01050337e+00 1.53931566e+01 3.81469727e+00
