# k P(k) shot_noise
8.89964132e-02 4.49442878e+00 3.05175781e+01
1.50791226e-01 1.08367208e+01 3.05175781e+01
2.14479026e-01 2.18650026e+01 3.05175781e+01
2.78366088e-01 2.53580082e+01 3.05175781e+01
3.43509997e-01 2.86539563e+01 3.05175781e+01
4.04788696e-01 2.91285634e+01 3.05175781e+01
4.67671689e-01 3.13854934e+01 3.05175781e+01
5.31061042e-01 2.75076557e+01 3.05175781e+01
5.94685997e-01 3.10620470e+01 3.05175781e+01
6.58767124e-01 2.81760563e+01 3.05175781e+01
7.20530626e-01 3.13801663e+01 3.05175781e+01
7.82786119e-01 2.91935021e+01 3.05175781e+01
8.47039927e-01 3.03709253e+01 3.05175781e+01
9.09685493e-01 3.21142139e+01 3.05175781e+01
9.72079014e-01 3.06806456e+01 3.05175781e+01
1.03476307e+00 2.98401817e+01 3.05175781e+01
1.09762745e+00 3.06545293e+01 3.05175781e+01
1.16095722e+00 2.96595526e+01 3.05175781e+01
1.22396971e+00 3.02670802e+01 3.05175781e+01
1.28711201e+00 3.18734986e+01 3.05175781e+01
1.35002498e+00 3.00539733e+01 3.05175781e+01
1.41270176e+00 2.94922926e+01 3.05175781e+01
1.47557634e+00 3.00133011e+01 3.05175781e+01
1.53786512e+00 3.10168737e+01 3.05175781e+01
1.60065759e+00 3.13521327e+01 3.05175781e+01
1.66407998e+00 3.08374096e+01 3.05175781e+01
1.72727186e+00 3.00631291e+01 3.05175781e+01
1.78976527e+00 3.02536899e+01 3.05175781e+01
1.85235375e+00 3.05604310e+01 3.05175781e+01
1.91480685e+00 3.05401782e+01 3.05175781e+01
1.97788992e+00 2.99399055e+01 3.05175781e+01
2.04107613e+00 3.02490669e+01 3.05175781e+01
2.10405967e+00 3.02926699e+01 3.05175781e+01
2.16694434e+00 3.01776597e+01 3.05175781e+01
2.22974346e+00 3.06054944e+01 3.05175781e+01
2.29272327e+00 3.06388412e+01 3.05175781e+01
2.35531343e+00 3.02535256e+01 3.05175781e+01
2.41811422e+00 3.04583311e+01 3.05175781e+01
2.48096828e+00 3.06479379e+01 3.05175781e+01
2.54349232e+00 3.05020422e+01 3.05175781e+01
2.60640598e+00 3.03187351e+01 3.05175781e+01
2.66934498e+00 3.08414267e+01 3.05175781e+01
2.73250793e+00 3.06467668e+01 3.05175781e+01
2.79562043e+00 3.06696026e+01 3.05175781e+01
2.85851940e+00 3.02963390e+01 3.05175781e+01
2.92103170e+00 3.06658190e+01 3.05175781e+01
2.98348408e+00 3.03767282e+01 3.05175781e+01
3.04648804e+00 3.08332134e+01 3.05175781e+01
3.10937413e+00 3.05521076e+01 3.05175781e+01
3.17228947e+00 3.09156839e+01 3.05175781e+01
3.23529746e+00 3.06981873e+01 3.05175781e+01
3.29823321e+00 3.04398653e+01 3.05175781e+01
3.36125757e+00 3.04762842e+01 3.05175781e+01
3.42373465e+00 3.07018578e+01 3.05175781e+01
