# k P(k) shot_noise
8.89964132e-02 6.36398197e+03 3.05175781e+01
1.50791226e-01 3.50551728e+03 3.05175781e+01
2.14479026e-01 1.79465012e+03 3.05175781e+01
2.78366088e-01 1.37568843e+03 3.05175781e+01
3.43509997e-01 9.89491311e+02 3.05175781e+01
4.04788696e-01 8.29137832e+02 3.05175781e+01
4.67671689e-01 7.34878896e+02 3.05175781e+01
5.31061042e-01 6.52890195e+02 3.05175781e+01
5.94685997e-01 5.74933902e+02 3.05175781e+01
6.58767124e-01 5.44442167e+02 3.05175781e+01
7.20530626e-01 5.02248653e+02 3.05175781e+01
7.82786119e-01 4.53809898e+02 3.05175781e+01
8.47039927e-01 4.57819315e+02 3.05175781e+01
9.09685493e-01 4.03886746e+02 3.05175781e+01
9.72079014e-01 3.74688151e+02 3.05175781e+01
1.03476307e+00 3.56549229e+02 3.05175781e+01
1.09762745e+00 3.37261063e+02 3.05175781e+01
1.16095722e+00 3.28797386e+02 3.05175781e+01
1.22396971e+00 3.07044815e+02 3.05175781e+01
1.28711201e+00 2.91998026e+02 3.05175781e+01
1.35002498e+00 2.66957182e+02 3.05175781e+01
1.41270176e+00 2.60077323e+02 3.05175781e+01
1.47557634e+00 2.57226327e+02 3.05175781e+01
1.53786512e+00 2.47136465e+02 3.05175781e+01
1.60065759e+00 2.28424760e+02 3.05175781e+01
1.66407998e+00 2.26929013e+02 3.05175781e+01
1.72727186e+00 2.16362727e+02 3.05175781e+01
1.78976527e+00 2.12122337e+02 3.05175781e+01
1.85235375e+00 1.98425215e+02 3.05175781e+01
1.91480685e+00 1.95431546e+02 3.05175781e+01
1.97788992e+00 1.88825000e+02 3.05175781e+01
2.04107613e+00 1.81336670e+02 3.05175781e+01
2.10405967e+00 1.75194061e+02 3.05175781e+01
2.16694434e+00 1.69113280e+02 3.05175781e+01
2.22974346e+00 1.64325972e+02 3.05175781e+01
2.29272327e+00 1.60780466e+02 3.05175781e+01
2.35531343e+00 1.53254231e+02 3.05175781e+01
2.41811422e+00 1.52131997e+02 3.05175781e+01
2.48096828e+00 1.44109090e+02 3.05175781e+01
2.54349232e+00 1.37191259e+02 3.05175781e+01
2.60640598e+00 1.32708864e+02 3.05175781e+01
2.66934498e+00 1.29883042e+02 3.05175781e+01
2.73250793e+00 1.26579686e+02 3.05175781e+01
2.79562043e+00 1.24736212e+02 3.05175781e+01
2.85851940e+00 1.22119640e+02 3.05175781e+01
2.92103170e+00 1.17208340e+02 3.05175781e+01
2.98348408e+00 1.15186090e+02 3.05175781e+01
3.04648804e+00 1.12276726e+02 3.05175781e+01
3.10937413e+00 1.07579359e+02 3.05175781e+01
3.17228947e+00 1.06984849e+02 3.05175781e+01
3.23529746e+00 1.04301393e+02 3.05175781e+01
3.29823321e+00 1.01170159e+02 3.05175781e+01
3.36125757e+00 9.92013207e+01 3.05175781e+01
3.42373465e+00 9.52501364e+01 3.05175781e+01
3.48649090e+00 9.44891196e+01 3.05175781e+01
3.54941175e+00 9.28120079e+01 3.05175781e+01
3.61191707e+00 8.92511695e+01 3.05175781e+01
3.67476723e+00 8.84523436e+01 3.05175781e+01
3.73764793e+00 8.66308167e+01 3.05175781e+01
3.80065416e+00 8.62025555e+01 3.05175781e+01
3.86353999e+00 8.32462870e+01 3.05175781e+01
3.92625634e+00 8.22101755e+01 3.05175781e+01
3.98937047e+00 8.03288940e+01 3.05175781e+01
4.05207712e+00 7.94580039e+01 3.05175781e+01
4.11495262e+00 7.69970201e+01 3.05175781e+01
4.17784953e+00 7.59413623e+01 3.05175781e+01
4.24040399e+00 7.59030438e+01 3.05175781e+01
4.30347653e+00 7.44326462e+01 3.05175781e+01
4.36641519e+00 7.32120481e+01 3.05175781e+01
4.42903206e+00 7.19695292e+01 3.05175781e+01
4.49166335e+00 7.01688022e+01 3.05175781e+01
4.55450209e+00 6.88466849e+01 3.05175781e+01
4.61773506e+00 6.86360001e+01 3.05175781e+01
4.68075301e+00 6.70679954e+01 3.05175781e+01
4.74358845e+00 6.65675291e+01 3.05175781e+01
4.80651747e+00 6.52247069e+01 3.05175781e+01
4.86918416e+00 6.46689545e+01 3.05175781e+01
4.93175909e+00 6.37691596e+01 3.05175781e+01
4.99453793e+00 6.28161644e+01 3.05175781e+01
5.05722577e+00 6.22251409e+01 3.05175781e+01
5.11998559e+00 6.13135978e+01 3.05175781e+01
5.18312622e+00 6.07215768e+01 3.05175781e+01
5.24610721e+00 5.94432731e+01 3.05175781e+01
5.30880767e+00 5.90705400e+01 3.05175781e+01
5.37161058e+00 5.81962847e+01 3.05175781e+01
5.43465532e+00 5.76428252e+01 3.05175781e+01
5.49751370e+00 5.69011255e+01 3.05175781e+01
5.55996267e+00 5.66346760e+01 3.05175781e+01
5.62287140e+00 5.58729507e+01 3.05175781e+01
5.68601894e+00 5.53330301e+01 3.05175781e+01
5.74883554e+00 5.44337219e+01 3.05175781e+01
5.81170411e+00 5.40589328e+01 3.05175781e+01
5.87452361e+00 5.32448372e+01 3.05175781e+01
5.93718524e+00 5.33565295e+01 3.05175781e+01
5.99997212e+00 5.23727249e+01 3.05175781e+01
6.06272109e+00 5.14136875e+01 3.05175781e+01
6.12553436e+00 5.10590451e+01 3.05175781e+01
6.18853783e+00 5.09678320e+01 3.05175781e+01
6.25134460e+00 5.05104396e+01 3.05175781e+01
6.31405594e+00 5.01617958e+01 3.05175781e+01
6.37705972e+00 4.94385296e+01 3.05175781e+01
6.43992890e+00 4.91863809e+01 3.05175781e+01
6.50272605e+00 4.90899508e+01 3.05175781e+01
6.56559003e+00 4.85214521e+01 3.05175781e+01
6.62838894e+00 4.81364513e+01 3.05175781e+01
6.69120091e+00 4.77356921e+01 3.05175781e+01
6.75407562e+00 4.73176270e+01 3.05175781e+01
6.81685815e+00 4.69255505e+01 3.05175781e+01
