# k P(k) shot_noise
8.89964132e-02 5.13523221e-02 7.45058060e-03
1.50791226e-01 1.19575957e-02 7.45058060e-03
2.14479026e-01 9.76773002e-03 7.45058060e-03
2.78366088e-01 7.55413017e-03 7.45058060e-03
3.43509997e-01 7.48533563e-03 7.45058060e-03
4.04788696e-01 7.81298800e-03 7.45058060e-03
4.67671689e-01 8.04576060e-03 7.45058060e-03
5.31061042e-01 7.39607024e-03 7.45058060e-03
5.94685997e-01 7.59978065e-03 7.45058060e-03
6.58767124e-01 7.81467120e-03 7.45058060e-03
7.20530626e-01 7.31394409e-03 7.45058060e-03
7.82786119e-01 7.28597447e-03 7.45058060e-03
8.47039927e-01 7.44680822e-03 7.45058060e-03
9.09685493e-01 7.53827317e-03 7.45058060e-03
9.72079014e-01 7.33832159e-03 7.45058060e-03
1.03476307e+00 7.49935616e-03 7.45058060e-03
1.09762745e+00 7.33459129e-03 7.45058060e-03
1.16095722e+00 7.34418714e-03 7.45058060e-03
1.22396971e+00 7.45027382e-03 7.45058060e-03
1.28711201e+00 7.26476385e-03 7.45058060e-03
1.35002498e+00 7.51263390e-03 7.45058060e-03
1.41270176e+00 7.25433555e-03 7.45058060e-03
1.47557634e+00 7.42713445e-03 7.45058060e-03
1.53786512e+00 7.29924465e-03 7.45058060e-03
1.60065759e+00 7.45088044e-03 7.45058060e-03
1.66407998e+00 7.24362165e-03 7.45058060e-03
1.72727186e+00 7.40250866e-03 7.45058060e-03
1.78976527e+00 7.55420730e-03 7.45058060e-03
1.85235375e+00 7.51690437e-03 7.45058060e-03
1.91480685e+00 7.43745662e-03 7.45058060e-03
1.97788992e+00 7.47985242e-03 7.45058060e-03
2.04107613e+00 7.41213706e-03 7.45058060e-03
2.10405967e+00 7.49154835e-03 7.45058060e-03
2.16694434e+00 7.42329547e-03 7.45058060e-03
2.22974346e+00 7.38783186e-03 7.45058060e-03
2.29272327e+00 7.43124939e-03 7.45058060e-03
2.35531343e+00 7.55419522e-03 7.45058060e-03
2.41811422e+00 7.45617578e-03 7.45058060e-03
2.48096828e+00 7.47391362e-03 7.45058060e-03
2.54349232e+00 7.39191606e-03 7.45058060e-03
2.60640598e+00 7.43300172e-03 7.45058060e-03
2.66934498e+00 7.37100786e-03 7.45058060e-03
2.73250793e+00 7.54066203e-03 7.45058060e-03
2.79562043e+00 7.49757708e-03 7.45058060e-03
2.85851940e+00 7.31283600e-03 7.45058060e-03
2.92103170e+00 7.56340797e-03 7.45058060e-03
2.98348408e+00 7.32471465e-03 7.45058060e-03
3.04648804e+00 7.51622716e-03 7.45058060e-03
3.10937413e+00 7.50189357e-03 7.45058060e-03
3.17228947e+00 7.40671967e-03 7.45058060e-03
3.23529746e+00 7.47980278e-03 7.45058060e-03
3.29823321e+00 7.45998371e-03 7.45058060e-03
3.36125757e+00 7.43730157e-03 7.45058060e-03
3.42373465e+00 7.46280201e-03 7.45058060e-03
3.48649090e+00 7.51509673e-03 7.45058060e-03
3.54941175e+00 7.33792878e-03 7.45058060e-03
3.61191707e+00 7.46125346e-03 7.45058060e-03
3.67476723e+00 7.32960072e-03 7.45058060e-03
3.73764793e+00 7.42058656e-03 7.45058060e-03
3.80065416e+00 7.41449602e-03 7.45058060e-03
3.86353999e+00 7.48452855e-03 7.45058060e-03
3.92625634e+00 7.49940147e-03 7.45058060e-03
3.98937047e+00 7.42853342e-03 7.45058060e-03
4.05207712e+00 7.49148664e-03 7.45058060e-03
4.11495262e+00 7.41456397e-03 7.45058060e-03
4.17784953e+00 7.37863378e-03 7.45058060e-03
4.24040399e+00 7.45217226e-03 7.45058060e-03
4.30347653e+00 7.47209496e-03 7.45058060e-03
4.36641519e+00 7.45968929e-03 7.45058060e-03
4.42903206e+00 7.40617786e-03 7.45058060e-03
4.49166335e+00 7.40836740e-03 7.45058060e-03
4.55450209e+00 7.46019602e-03 7.45058060e-03
4.61773506e+00 7.45412924e-03 7.45058060e-03
4.68075301e+00 7.49416252e-03 7.45058060e-03
4.74358845e+00 7.48509059e-03 7.45058060e-03
4.80651747e+00 7.47000508e-03 7.45058060e-03
4.86918416e+00 7.47246160e-03 7.45058060e-03
4.93175909e+00 7.37377080e-03 7.45058060e-03
4.99453793e+00 7.44839643e-03 7.45058060e-03
5.05722577e+00 7.42311151e-03 7.45058060e-03
5.11998559e+00 7.53099763e-03 7.45058060e-03
5.18312622e+00 7.47329385e-03 7.45058060e-03
5.24610721e+00 7.47532702e-03 7.45058060e-03
5.30880767e+00 7.43760031e-03 7.45058060e-03
5.37161058e+00 7.42809005e-03 7.45058060e-03
5.43465532e+00 7.41491189e-03 7.45058060e-03
5.49751370e+00 7.40209285e-03 7.45058060e-03
5.55996267e+00 7.49839148e-03 7.45058060e-03
5.62287140e+00 7.44020518e-03 7.45058060e-03
5.68601894e+00 7.37980546e-03 7.45058060e-03
5.74883554e+00 7.40681079e-03 7.45058060e-03
5.81170411e+00 7.46923650e-03 7.45058060e-03
5.87452361e+00 7.39016746e-03 7.45058060e-03
5.93718524e+00 7.45032292e-03 7.45058060e-03
5.99997212e+00 7.44820468e-03 7.45058060e-03
6.06272109e+00 7.48504226e-03 7.45058060e-03
6.12553436e+00 7.43803068e-03 7.45058060e-03
6.18853783e+00 7.49949623e-03 7.45058060e-03
6.25134460e+00 7.41577050e-03 7.45058060e-03
6.31405594e+00 7.43592654e-03 7.45058060e-03
6.37705972e+00 7.53198210e-03 7.45058060e-03
6.43992890e+00 7.40309138e-03 7.45058060e-03
6.50272605e+00 7.43711430e-03 7.45058060e-03
6.56559003e+00 7.48163374e-03 7.45058060e-03
6.62838894e+00 7.47865418e-03 7.45058060e-03
6.69120091e+00 7.46915985e-03 7.45058060e-03
6.75407562e+00 7.46252042e-03 7.45058060e-03
6.81685815e+00 7.45032506e-03 7.45058060e-03
6.87961244e+00 7.49762926e-03 7.45058060e-03
6.94241998e+00 7.43003305e-03 7.45058060e-03
7.00524312e+00 7.48165995e-03 7.45058060e-03
7.06812517e+00 7.45333546e-03 7.45058060e-03
7.13101923e+00 7.48337329e-03 7.45058060e-03
7.19393849e+00 7.44040699e-03 7.45058060e-03
7.25685335e+00 7.42160350e-03 7.45058060e-03
7.31965292e+00 7.43127890e-03 7.45058060e-03
7.38250822e+00 7.43411489e-03 7.45058060e-03
7.44526607e+00 7.45127399e-03 7.45058060e-03
7.50787133e+00 7.48591972e-03 7.45058060e-03
7.57076986e+00 7.44101270e-03 7.45058060e-03
7.63365215e+00 7.42362307e-03 7.45058060e-03
7.69647641e+00 7.46294168e-03 7.45058060e-03
7.75940767e+00 7.47482272e-03 7.45058060e-03
7.82232938e+00 7.48260112e-03 7.45058060e-03
7.88534300e+00 7.45477793e-03 7.45058060e-03
7.94793718e+00 7.43327815e-03 7.45058060e-03
8.01050337e+00 7.43206418e-03 7.45058060e-03
