# k P(k) shot_noise
8.89964132e-02 2.97837951e+03 3.81469727e+00
1.50791226e-01 1.52725911e+03 3.81469727e+00
2.14479026e-01 7.63041386e+02 3.81469727e+00
2.78366088e-01 5.24508480e+02 3.81469727e+00
3.43509997e-01 3.21015053e+02 3.81469727e+00
4.04788696e-01 2.51580602e+02 3.81469727e+00
4.67671689e-01 1.95019394e+02 3.81469727e+00
5.31061042e-01 1.65953985e+02 3.81469727e+00
5.94685997e-01 1.19931996e+02 3.81469727e+00
6.58767124e-01 1.01013936e+02 3.81469727e+00
7.20530626e-01 8.20890764e+01 3.81469727e+00
7.82786119e-01 6.79947256e+01 3.81469727e+00
8.47039927e-01 5.42927904e+01 3.81469727e+00
9.09685493e-01 4.45141875e+01 3.81469727e+00
9.72079014e-01 3.81050265e+01 3.81469727e+00
1.03476307e+00 3.18902894e+01 3.81469727e+00
1.09762745e+00 2.72360778e+01 3.81469727e+00
1.16095722e+00 2.50748169e+01 3.81469727e+00
1.22396971e+00 2.10278114e+01 3.81469727e+00
1.28711201e+00 1.89500047e+01 3.81469727e+00
1.35002498e+00 1.65764455e+01 3.81469727e+00
1.41270176e+00 1.39528732e+01 3.81469727e+00
1.47557634e+00 1.24498528e+01 3.81469727e+00
1.53786512e+00 1.14187935e+01 3.81469727e+00
1.60065759e+00 1.00108278e+01 3.81469727e+00
1.66407998e+00 9.11228622e+00 3.81469727e+00
1.72727186e+00 8.36423624e+00 3.81469727e+00
1.78976527e+00 7.62866454e+00 3.81469727e+00
1.85235375e+00 6.99810532e+00 3.81469727e+00
1.91480685e+00 6.49247708e+00 3.81469727e+00
1.97788992e+00 6.08649300e+00 3.81469727e+00
2.04107613e+00 5.65156677e+00 3.81469727e+00
2.10405967e+00 5.34293319e+00 3.81469727e+00
2.16694434e+00 5.13076427e+00 3.81469727e+00
2.22974346e+00 4.85427676e+00 3.81469727e+00
2.29272327e+00 4.72397544e+00 3.81469727e+00
2.35531343e+00 4.52338631e+00 3.81469727e+00
2.41811422e+00 4.39081811e+00 3.81469727e+00
2.48096828e+00 4.29179229e+00 3.81469727e+00
2.54349232e+00 4.27566986e+00 3.81469727e+00
2.60640598e+00 4.22414421e+00 3.81469727e+00
2.66934498e+00 4.11423869e+00 3.81469727e+00
2.73250793e+00 4.08647830e+00 3.81469727e+00
2.79562043e+00 3.95851211e+00 3.81469727e+00
2.85851940e+00 3.95266827e+00 3.81469727e+00
2.92103170e+00 3.94520732e+00 3.81469727e+00
2.98348408e+00 3.86758249e+00 3.81469727e+00
3.04648804e+00 3.87816290e+00 3.81469727e+00
3.10937413e+00 3.86636431e+00 3.81469727e+00
3.17228947e+00 3.83482894e+00 3.81469727e+00
3.23529746e+00 3.80461620e+00 3.81469727e+00
3.29823321e+00 3.76340931e+00 3.81469727e+00
3.36125757e+00 3.81634550e+00 3.81469727e+00
3.42373465e+00 3.80952797e+00 3.81469727e+00
3.48649090e+00 3.79504975e+00 3.81469727e+00
3.54941175e+00 3.74999647e+00 3.81469727e+00
3.61191707e+00 3.81458217e+00 3.81469727e+00
3.67476723e+00 3.81419815e+00 3.81469727e+00
3.73764793e+00 3.83925392e+00 3.81469727e+00
3.80065416e+00 3.79349964e+00 3.81469727e+00
3.86353999e+00 3.81351737e+00 3.81469727e+00
3.92625634e+00 3.85477299e+00 3.81469727e+00
3.98937047e+00 3.83588087e+00 3.81469727e+00
4.05207712e+00 3.85038567e+00 3.81469727e+00
4.11495262e+00 3.79939668e+00 3.81469727e+00
4.17784953e+00 3.81168908e+00 3.81469727e+00
4.24040399e+00 3.80764229e+00 3.81469727e+00
4.30347653e+00 3.83283432e+00 3.81469727e+00
4.36641519e+00 3.80527637e+00 3.81469727e+00
4.42903206e+00 3.80495637e+00 3.81469727e+00
4.49166335e+00 3.83503586e+00 3.81469727e+00
4.55450209e+00 3.79949468e+00 3.81469727e+00
4.61773506e+00 3.83666590e+00 3.81469727e+00
4.68075301e+00 3.85435984e+00 3.81469727e+00
4.74358845e+00 3.80158158e+00 3.81469727e+00
4.80651747e+00 3.83252198e+00 3.81469727e+00
4.86918416e+00 3.81781724e+00 3.81469727e+00
4.93175909e+00 3.82328009e+00 3.81469727e+00
4.99453793e+00 3.84579634e+00 3.81469727e+00
5.05722577e+00 3.84438455e+00 3.81469727e+00
5.11998559e+00 3.86489772e+00 3.81469727e+00
5.18312622e+00 3.83992174e+00 3.81469727e+00
5.24610721e+00 3.81930807e+00 3.81469727e+00
5.30880767e+00 3.80982655e+00 3.81469727e+00
5.37161058e+00 3.78864133e+00 3.81469727e+00
5.43465532e+00 3.78504647e+00 3.81469727e+00
5.49751370e+00 3.80535475e+00 3.81469727e+00
5.55996267e+00 3.76545194e+00 3.81469727e+00
5.62287140e+00 3.80322011e+00 3.81469727e+00
5.68601894e+00 3.78894133e+00 3.81469727e+00
5.74883554e+00 3.80487634e+00 3.81469727e+00
5.81170411e+00 3.83195312e+00 3.81469727e+00
5.87452361e+00 3.83361337e+00 3.81469727e+00
5.93718524e+00 3.83030565e+00 3.81469727e+00
5.99997212e+00 3.78368267e+00 3.81469727e+00
6.06272109e+00 3.79975234e+00 3.81469727e+00
6.12553436e+00 3.78929256e+00 3.81469727e+00
6.18853783e+00 3.76937665e+00 3.81469727e+00
6.25134460e+00 3.78603851e+00 3.81469727e+00
6.31405594e+00 3.81718812e+00 3.81469727e+00
6.37705972e+00 3.80831267e+00 3.81469727e+00
6.43992890e+00 3.80051295e+00 3.81469727e+00
6.50272605e+00 3.79276942e+00 3.81469727e+00
6.56559003e+00 3.78279898e+00 3.81469727e+00
6.62838894e+00 3.79677138e+00 3.81469727e+00
6.69120091e+00 3.82432418e+00 3.81469727e+00
6.75407562e+00 3.78073653e+00 3.81469727e+00
6.81685815e+00 3.81124054e+00 3.81469727e+00
6.87961244e+00 3.82175824e+00 3.81469727e+00
6.94241998e+00 3.78937496e+00 3.81469727e+00
7.00524312e+00 3.79709114e+00 3.81469727e+00
7.06812517e+00 3.79437334e+00 3.81469727e+00
7.13101923e+00 3.81185789e+00 3.81469727e+00
7.19393849e+00 3.79339724e+00 3.81469727e+00
7.25685335e+00 3.80574507e+00 3.81469727e+00
