# k P(k) shot_noise
8.89964132e-02 4.48156621e+00 3.81469727e+00
1.50791226e-01 1.27827167e+01 3.81469727e+00
2.14479026e-01 2.71141311e+01 3.81469727e+00
2.78366088e-01 3.19742985e+01 3.81469727e+00
3.43509997e-01 4.86195265e+01 3.81469727e+00
4.04788696e-01 5.13316282e+01 3.81469727e+00
4.67671689e-01 5.56938199e+01 3.81469727e+00
5.31061042e-01 5.43955213e+01 3.81469727e+00
5.94685997e-01 5.06346448e+01 3.81469727e+00
6.58767124e-01 4.93153450e+01 3.81469727e+00
7.20530626e-01 4.56797816e+01 3.81469727e+00
7.82786119e-01 4.15861596e+01 3.81469727e+00
8.47039927e-01 3.39356146e+01 3.81469727e+00
9.09685493e-01 2.87573169e+01 3.81469727e+00
9.72079014e-01 2.56677629e+01 3.81469727e+00
1.03476307e+00 2.36686871e+01 3.81469727e+00
1.09762745e+00 1.96960477e+01 3.81469727e+00
1.16095722e+00 1.71303925e+01 3.81469727e+00
1.22396971e+00 1.51475006e+01 3.81469727e+00
1.28711201e+00 1.37932773e+01 3.81469727e+00
1.35002498e+00 1.22210066e+01 3.81469727e+00
1.41270176e+00 1.11813656e+01 3.81469727e+00
1.47557634e+00 1.01788737e+01 3.81469727e+00
1.53786512e+00 8.90712029e+00 3.81469727e+00
1.60065759e+00 7.98879427e+00 3.81469727e+00
1.66407998e+00 7.71253685e+00 3.81469727e+00
1.72727186e+00 7.13055651e+00 3.81469727e+00
1.78976527e+00 6.63937245e+00 3.81469727e+00
1.85235375e+00 6.22463212e+00 3.81469727e+00
1.91480685e+00 5.80496745e+00 3.81469727e+00
1.97788992e+00 5.49821420e+00 3.81469727e+00
2.04107613e+00 5.35587237e+00 3.81469727e+00
2.10405967e+00 5.17010764e+00 3.81469727e+00
2.16694434e+00 4.85321932e+00 3.81469727e+00
2.22974346e+00 4.73619453e+00 3.81469727e+00
2.29272327e+00 4.54087242e+00 3.81469727e+00
2.35531343e+00 4.49332888e+00 3.81469727e+00
2.41811422e+00 4.29050771e+00 3.81469727e+00
2.48096828e+00 4.30500900e+00 3.81469727e+00
2.54349232e+00 4.16243001e+00 3.81469727e+00
2.60640598e+00 4.22134141e+00 3.81469727e+00
2.66934498e+00 4.11550454e+00 3.81469727e+00
2.73250793e+00 4.00768760e+00 3.81469727e+00
2.79562043e+00 3.95763713e+00 3.81469727e+00
2.85851940e+00 4.00806584e+00 3.81469727e+00
2.92103170e+00 3.94776786e+00 3.81469727e+00
2.98348408e+00 3.98984282e+00 3.81469727e+00
3.04648804e+00 3.93304702e+00 3.81469727e+00
3.10937413e+00 3.90560566e+00 3.81469727e+00
3.17228947e+00 3.93572552e+00 3.81469727e+00
3.23529746e+00 3.90533260e+00 3.81469727e+00
3.29823321e+00 3.90039153e+00 3.81469727e+00
3.36125757e+00 3.84569515e+00 3.81469727e+00
3.42373465e+00 3.89808512e+00 3.81469727e+00
3.48649090e+00 3.84276490e+00 3.81469727e+00
3.54941175e+00 3.84102007e+00 3.81469727e+00
3.61191707e+00 3.87997441e+00 3.81469727e+00
3.67476723e+00 3.79232207e+00 3.81469727e+00
3.73764793e+00 3.82879450e+00 3.81469727e+00
3.80065416e+00 3.78604567e+00 3.81469727e+00
3.86353999e+00 3.82009628e+00 3.81469727e+00
3.92625634e+00 3.86195150e+00 3.81469727e+00
3.98937047e+00 3.83991788e+00 3.81469727e+00
4.05207712e+00 3.81837322e+00 3.81469727e+00
4.11495262e+00 3.81443134e+00 3.81469727e+00
4.17784953e+00 3.78804813e+00 3.81469727e+00
4.24040399e+00 3.78832761e+00 3.81469727e+00
4.30347653e+00 3.81570017e+00 3.81469727e+00
4.36641519e+00 3.80821503e+00 3.81469727e+00
4.42903206e+00 3.79395109e+00 3.81469727e+00
4.49166335e+00 3.81252197e+00 3.81469727e+00
4.55450209e+00 3.85598472e+00 3.81469727e+00
4.61773506e+00 3.83007120e+00 3.81469727e+00
4.68075301e+00 3.83309232e+00 3.81469727e+00
4.74358845e+00 3.81530027e+00 3.81469727e+00
4.80651747e+00 3.82481172e+00 3.81469727e+00
4.86918416e+00 3.80825976e+00 3.81469727e+00
4.93175909e+00 3.83475803e+00 3.81469727e+00
4.99453793e+00 3.83045883e+00 3.81469727e+00
5.05722577e+00 3.82901530e+00 3.81469727e+00
5.11998559e+00 3.82573619e+00 3.81469727e+00
5.18312622e+00 3.82238551e+00 3.81469727e+00
5.24610721e+00 3.81839320e+00 3.81469727e+00
5.30880767e+00 3.81607627e+00 3.81469727e+00
5.37161058e+00 3.84429803e+00 3.81469727e+00
5.43465532e+00 3.82362847e+00 3.81469727e+00
5.49751370e+00 3.81034429e+00 3.81469727e+00
5.55996267e+00 3.79215540e+00 3.81469727e+00
5.62287140e+00 3.81800953e+00 3.81469727e+00
