# k P(k)
 (5.38558732e-05+0.00000000e+00j)  (9.12678034e+12+0.00000000e+00j)
 (1.03496068e-04+0.00000000e+00j)  (5.28687696e+12+0.00000000e+00j)
 (1.65034499e-04+0.00000000e+00j)  (2.81397477e+12+0.00000000e+00j)
 (2.21946139e-04+0.00000000e+00j)  (1.83426367e+12+0.00000000e+00j)
 (2.82418726e-04+0.00000000e+00j)  (1.41756610e+12+0.00000000e+00j)
 (3.47617800e-04+0.00000000e+00j)  (9.48993947e+11+0.00000000e+00j)
 (4.07846744e-04+0.00000000e+00j)  (8.33011512e+11+0.00000000e+00j)
 (4.68572062e-04+0.00000000e+00j)  (7.26045176e+11+0.00000000e+00j)
 (5.34415219e-04+0.00000000e+00j)  (6.31398741e+11+0.00000000e+00j)
 (5.97755731e-04+0.00000000e+00j)  (5.45365064e+11+0.00000000e+00j)
 (6.59295890e-04+0.00000000e+00j)  (5.20458036e+11+0.00000000e+00j)
 (7.21154722e-04+0.00000000e+00j)  (4.74714457e+11+0.00000000e+00j)
 (7.84173729e-04+0.00000000e+00j)  (4.31969200e+11+0.00000000e+00j)
 (8.47991907e-04+0.00000000e+00j)  (4.20113779e+11+0.00000000e+00j)
 (9.10259311e-04+0.00000000e+00j)  (3.67197536e+11+0.00000000e+00j)
 (9.72435524e-04+0.00000000e+00j)  (3.39311768e+11+0.00000000e+00j)
 (1.03537269e-03+0.00000000e+00j)  (3.12674715e+11+0.00000000e+00j)
 (1.09878425e-03+0.00000000e+00j)  (2.93354311e+11+0.00000000e+00j)
 (1.16121320e-03+0.00000000e+00j)  (2.78983132e+11+0.00000000e+00j)
 (1.22383282e-03+0.00000000e+00j)  (2.55791177e+11+0.00000000e+00j)
 (1.28810332e-03+0.00000000e+00j)  (2.39891803e+11+0.00000000e+00j)
 (1.35080930e-03+0.00000000e+00j)  (2.12127913e+11+0.00000000e+00j)
 (1.41225947e-03+0.00000000e+00j)  (2.05405036e+11+0.00000000e+00j)
 (1.47534206e-03+0.00000000e+00j)  (1.99400717e+11+0.00000000e+00j)
 (1.53820048e-03+0.00000000e+00j)  (1.84728230e+11+0.00000000e+00j)
 (1.60105092e-03+0.00000000e+00j)  (1.67724674e+11+0.00000000e+00j)
 (1.66468354e-03+0.00000000e+00j)  (1.62138981e+11+0.00000000e+00j)
 (1.72768511e-03+0.00000000e+00j)  (1.49601613e+11+0.00000000e+00j)
 (1.78986724e-03+0.00000000e+00j)  (1.42189605e+11+0.00000000e+00j)
 (1.85248453e-03+0.00000000e+00j)  (1.30088779e+11+0.00000000e+00j)
 (1.91502470e-03+0.00000000e+00j)  (1.25542385e+11+0.00000000e+00j)
 (1.97801884e-03+0.00000000e+00j)  (1.17843366e+11+0.00000000e+00j)
 (2.04158890e-03+0.00000000e+00j)  (1.09375033e+11+0.00000000e+00j)
 (2.10463707e-03+0.00000000e+00j)  (1.02074646e+11+0.00000000e+00j)
 (2.16705990e-03+0.00000000e+00j)  (9.38801503e+10+0.00000000e+00j)
 (2.22992124e-03+0.00000000e+00j)  (8.92808730e+10+0.00000000e+00j)
 (2.29279362e-03+0.00000000e+00j)  (8.46757282e+10+0.00000000e+00j)
 (2.35514155e-03+0.00000000e+00j)  (7.69937052e+10+0.00000000e+00j)
 (2.41803588e-03+0.00000000e+00j)  (7.29856667e+10+0.00000000e+00j)
 (2.48100774e-03+0.00000000e+00j)  (6.71204988e+10+0.00000000e+00j)
 (2.54376937e-03+0.00000000e+00j)  (6.18094756e+10+0.00000000e+00j)
 (2.60683145e-03+0.00000000e+00j)  (5.72326239e+10+0.00000000e+00j)
 (2.66959758e-03+0.00000000e+00j)  (5.38451223e+10+0.00000000e+00j)
 (2.73255905e-03+0.00000000e+00j)  (5.05472550e+10+0.00000000e+00j)
 (2.79573023e-03+0.00000000e+00j)  (4.72476740e+10+0.00000000e+00j)
 (2.85851715e-03+0.00000000e+00j)  (4.43457639e+10+0.00000000e+00j)
 (2.92089463e-03+0.00000000e+00j)  (4.08850172e+10+0.00000000e+00j)
 (2.98348408e-03+0.00000000e+00j)  (3.82580872e+10+0.00000000e+00j)
 (3.04643138e-03+0.00000000e+00j)  (3.52652814e+10+0.00000000e+00j)
 (3.10934497e-03+0.00000000e+00j)  (3.22276264e+10+0.00000000e+00j)
 (3.17224683e-03+0.00000000e+00j)  (3.11036737e+10+0.00000000e+00j)
 (3.23526995e-03+0.00000000e+00j)  (2.85554990e+10+0.00000000e+00j)
 (3.29834449e-03+0.00000000e+00j)  (2.64302106e+10+0.00000000e+00j)
 (3.36141183e-03+0.00000000e+00j)  (2.48209047e+10+0.00000000e+00j)
 (3.42394038e-03+0.00000000e+00j)  (2.26237287e+10+0.00000000e+00j)
 (3.48660485e-03+0.00000000e+00j)  (2.15483229e+10+0.00000000e+00j)
 (3.54946257e-03+0.00000000e+00j)  (2.01765269e+10+0.00000000e+00j)
 (3.61196509e-03+0.00000000e+00j)  (1.86695326e+10+0.00000000e+00j)
 (3.67477846e-03+0.00000000e+00j)  (1.75464661e+10+0.00000000e+00j)
 (3.73766976e-03+0.00000000e+00j)  (1.62699630e+10+0.00000000e+00j)
 (3.80072377e-03+0.00000000e+00j)  (1.55250686e+10+0.00000000e+00j)
 (3.86361933e-03+0.00000000e+00j)  (1.45778496e+10+0.00000000e+00j)
 (3.92655221e-03+0.00000000e+00j)  (1.38110167e+10+0.00000000e+00j)
 (3.98962040e-03+0.00000000e+00j)  (1.28648419e+10+0.00000000e+00j)
