# k P(k) shot_noise
5.38558732e-05 6.08714498e+13 7.45058060e+06
1.03496068e-04 7.10131183e+13 7.45058060e+06
1.65034499e-04 7.10045246e+13 7.45058060e+06
2.21946139e-04 7.09933093e+13 7.45058060e+06
2.82418726e-04 7.09776282e+13 7.45058060e+06
3.47617800e-04 7.09565301e+13 7.45058060e+06
4.07846744e-04 7.09332498e+13 7.45058060e+06
4.68572062e-04 7.09059278e+13 7.45058060e+06
5.34415219e-04 7.08720477e+13 7.45058060e+06
5.97755731e-04 7.08352557e+13 7.45058060e+06
6.59295890e-04 7.07955682e+13 7.45058060e+06
7.21154722e-04 7.07517495e+13 7.45058060e+06
7.84173729e-04 7.07030028e+13 7.45058060e+06
8.47991907e-04 7.06495014e+13 7.45058060e+06
9.10259311e-04 7.05932942e+13 7.45058060e+06
9.72435524e-04 7.05330907e+13 7.45058060e+06
1.03537269e-03 7.04681376e+13 7.45058060e+06
1.09878425e-03 7.03984752e+13 7.45058060e+06
1.16121320e-03 7.03258939e+13 7.45058060e+06
1.22383282e-03 7.02489739e+13 7.45058060e+06
1.28810332e-03 7.01658082e+13 7.45058060e+06
1.35080930e-03 7.00805144e+13 7.45058060e+06
1.41225947e-03 6.99929720e+13 7.45058060e+06
1.47534206e-03 6.98989427e+13 7.45058060e+06
1.53820048e-03 6.98011760e+13 7.45058060e+06
1.60105092e-03 6.96991785e+13 7.45058060e+06
1.66468354e-03 6.95918500e+13 7.45058060e+06
1.72768511e-03 6.94811379e+13 7.45058060e+06
1.78986724e-03 6.93680246e+13 7.45058060e+06
1.85248453e-03 6.92497961e+13 7.45058060e+06
1.91502470e-03 6.91276255e+13 7.45058060e+06
1.97801884e-03 6.90003962e+13 7.45058060e+06
2.04158890e-03 6.88676746e+13 7.45058060e+06
2.10463707e-03 6.87317830e+13 7.45058060e+06
2.16705990e-03 6.85931086e+13 7.45058060e+06
2.22992124e-03 6.84491353e+13 7.45058060e+06
2.29279362e-03 6.83009382e+13 7.45058060e+06
2.35514155e-03 6.81497277e+13 7.45058060e+06
2.41803588e-03 6.79929496e+13 7.45058060e+06
2.48100774e-03 6.78317096e+13 7.45058060e+06
2.54376937e-03 6.76666247e+13 7.45058060e+06
2.60683145e-03 6.74965004e+13 7.45058060e+06
2.66959758e-03 6.73228006e+13 7.45058060e+06
2.73255905e-03 6.71441195e+13 7.45058060e+06
2.79573023e-03 6.69605804e+13 7.45058060e+06
2.85851715e-03 6.67736732e+13 7.45058060e+06
2.92089463e-03 6.65836537e+13 7.45058060e+06
2.98348408e-03 6.63886327e+13 7.45058060e+06
3.04643138e-03 6.61881037e+13 7.45058060e+06
3.10934497e-03 6.59831696e+13 7.45058060e+06
3.17224683e-03 6.57737206e+13 7.45058060e+06
3.23526995e-03 6.55594142e+13 7.45058060e+06
3.29834449e-03 6.53404588e+13 7.45058060e+06
3.36141183e-03 6.51171031e+13 7.45058060e+06
3.42394038e-03 6.48907345e+13 7.45058060e+06
3.48660485e-03 6.46595432e+13 7.45058060e+06
3.54946257e-03 6.44232096e+13 7.45058060e+06
3.61196509e-03 6.41832845e+13 7.45058060e+06
3.67477846e-03 6.39379256e+13 7.45058060e+06
3.73766976e-03 6.36872657e+13 7.45058060e+06
3.80072377e-03 6.34315891e+13 7.45058060e+06
3.86361933e-03 6.31714575e+13 7.45058060e+06
3.92655221e-03 6.29066949e+13 7.45058060e+06
3.98962227e-03 6.26363671e+13 7.45058060e+06
4.05220479e-03 6.23635530e+13 7.45058060e+06
4.11518506e-03 6.20841463e+13 7.45058060e+06
4.17805919e-03 6.18001788e+13 7.45058060e+06
4.24052095e-03 6.15135268e+13 7.45058060e+06
4.30351860e-03 6.12192745e+13 7.45058060e+06
4.36642744e-03 6.09206044e+13 7.45058060e+06
4.42910285e-03 6.06181138e+13 7.45058060e+06
4.49177371e-03 6.03109200e+13 7.45058060e+06
4.55451257e-03 5.99979072e+13 7.45058060e+06
4.61768488e-03 5.96778254e+13 7.45058060e+06
4.68068469e-03 5.93536912e+13 7.45058060e+06
4.74352328e-03 5.90252882e+13 7.45058060e+06
4.80641165e-03 5.86910589e+13 7.45058060e+06
4.86910236e-03 5.83531357e+13 7.45058060e+06
4.93173258e-03 5.80107703e+13 7.45058060e+06
4.99452276e-03 5.76614570e+13 7.45058060e+06
5.05723483e-03 5.73077496e+13 7.45058060e+06
5.12004418e-03 5.69479144e+13 7.45058060e+06
5.18319853e-03 5.65813322e+13 7.45058060e+06
5.24617654e-03 5.62099530e+13 7.45058060e+06
5.30890043e-03 5.58350551e+13 7.45058060e+06
5.37166462e-03 5.54539969e+13 7.45058060e+06
5.43464696e-03 5.50663819e+13 7.45058060e+06
