# k P(k)
 (5.38558732e-05+0.00000000e+00j)  (9.12962647e+12+0.00000000e+00j)
 (1.03496068e-04+0.00000000e+00j)  (5.29112450e+12+0.00000000e+00j)
 (1.65034499e-04+0.00000000e+00j)  (2.81952393e+12+0.00000000e+00j)
 (2.21946139e-04+0.00000000e+00j)  (1.84097743e+12+0.00000000e+00j)
 (2.82418726e-04+0.00000000e+00j)  (1.42621635e+12+0.00000000e+00j)
 (3.47617800e-04+0.00000000e+00j)  (9.57695999e+11+0.00000000e+00j)
 (4.07846744e-04+0.00000000e+00j)  (8.43555698e+11+0.00000000e+00j)
 (4.68572062e-04+0.00000000e+00j)  (7.38258114e+11+0.00000000e+00j)
 (5.34415219e-04+0.00000000e+00j)  (6.45265937e+11+0.00000000e+00j)
 (5.97755731e-04+0.00000000e+00j)  (5.60408248e+11+0.00000000e+00j)
 (6.59295890e-04+0.00000000e+00j)  (5.38082562e+11+0.00000000e+00j)
 (7.21154722e-04+0.00000000e+00j)  (4.94095981e+11+0.00000000e+00j)
 (7.84173729e-04+0.00000000e+00j)  (4.52834106e+11+0.00000000e+00j)
 (8.47991907e-04+0.00000000e+00j)  (4.43950813e+11+0.00000000e+00j)
 (9.10259311e-04+0.00000000e+00j)  (3.91215093e+11+0.00000000e+00j)
 (9.72435524e-04+0.00000000e+00j)  (3.64795864e+11+0.00000000e+00j)
 (1.03537269e-03+0.00000000e+00j)  (3.39431515e+11+0.00000000e+00j)
 (1.09878425e-03+0.00000000e+00j)  (3.21858513e+11+0.00000000e+00j)
 (1.16121320e-03+0.00000000e+00j)  (3.09306146e+11+0.00000000e+00j)
 (1.22383282e-03+0.00000000e+00j)  (2.87093049e+11+0.00000000e+00j)
 (1.28810332e-03+0.00000000e+00j)  (2.72515250e+11+0.00000000e+00j)
 (1.35080930e-03+0.00000000e+00j)  (2.44180327e+11+0.00000000e+00j)
 (1.41225947e-03+0.00000000e+00j)  (2.39515516e+11+0.00000000e+00j)
 (1.47534206e-03+0.00000000e+00j)  (2.35801088e+11+0.00000000e+00j)
 (1.53820048e-03+0.00000000e+00j)  (2.21644064e+11+0.00000000e+00j)
 (1.60105092e-03+0.00000000e+00j)  (2.04503084e+11+0.00000000e+00j)
 (1.66468354e-03+0.00000000e+00j)  (2.00956665e+11+0.00000000e+00j)
 (1.72768511e-03+0.00000000e+00j)  (1.88550352e+11+0.00000000e+00j)
 (1.78986724e-03+0.00000000e+00j)  (1.82207428e+11+0.00000000e+00j)
 (1.85248453e-03+0.00000000e+00j)  (1.69727841e+11+0.00000000e+00j)
 (1.91502470e-03+0.00000000e+00j)  (1.66976953e+11+0.00000000e+00j)
 (1.97801884e-03+0.00000000e+00j)  (1.59654518e+11+0.00000000e+00j)
 (2.04158890e-03+0.00000000e+00j)  (1.51145384e+11+0.00000000e+00j)
 (2.10463707e-03+0.00000000e+00j)  (1.44229507e+11+0.00000000e+00j)
 (2.16705990e-03+0.00000000e+00j)  (1.35467532e+11+0.00000000e+00j)
 (2.22992124e-03+0.00000000e+00j)  (1.31740831e+11+0.00000000e+00j)
 (2.29279362e-03+0.00000000e+00j)  (1.27682766e+11+0.00000000e+00j)
 (2.35514155e-03+0.00000000e+00j)  (1.18899264e+11+0.00000000e+00j)
 (2.41803588e-03+0.00000000e+00j)  (1.15325323e+11+0.00000000e+00j)
 (2.48100774e-03+0.00000000e+00j)  (1.08752160e+11+0.00000000e+00j)
 (2.54376937e-03+0.00000000e+00j)  (1.02580633e+11+0.00000000e+00j)
 (2.60683145e-03+0.00000000e+00j)  (9.74054087e+10+0.00000000e+00j)
 (2.66959758e-03+0.00000000e+00j)  (9.38480452e+10+0.00000000e+00j)
 (2.73255905e-03+0.00000000e+00j)  (9.06748665e+10+0.00000000e+00j)
 (2.79573023e-03+0.00000000e+00j)  (8.69811274e+10+0.00000000e+00j)
 (2.85851715e-03+0.00000000e+00j)  (8.41539206e+10+0.00000000e+00j)
 (2.92089463e-03+0.00000000e+00j)  (7.95662168e+10+0.00000000e+00j)
 (2.98348408e-03+0.00000000e+00j)  (7.66441810e+10+0.00000000e+00j)
 (3.04643138e-03+0.00000000e+00j)  (7.26840837e+10+0.00000000e+00j)
 (3.10934497e-03+0.00000000e+00j)  (6.83397804e+10+0.00000000e+00j)
 (3.17224683e-03+0.00000000e+00j)  (6.76920972e+10+0.00000000e+00j)
 (3.23526995e-03+0.00000000e+00j)  (6.40696958e+10+0.00000000e+00j)
 (3.29834449e-03+0.00000000e+00j)  (6.11555760e+10+0.00000000e+00j)
 (3.36141183e-03+0.00000000e+00j)  (5.89954774e+10+0.00000000e+00j)
 (3.42394038e-03+0.00000000e+00j)  (5.54731609e+10+0.00000000e+00j)
 (3.48660485e-03+0.00000000e+00j)  (5.41013437e+10+0.00000000e+00j)
 (3.54946257e-03+0.00000000e+00j)  (5.20541503e+10+0.00000000e+00j)
 (3.61196509e-03+0.00000000e+00j)  (4.93213947e+10+0.00000000e+00j)
 (3.67477846e-03+0.00000000e+00j)  (4.74689296e+10+0.00000000e+00j)
 (3.73766976e-03+0.00000000e+00j)  (4.54504729e+10+0.00000000e+00j)
 (3.80072377e-03+0.00000000e+00j)  (4.43764289e+10+0.00000000e+00j)
 (3.86361933e-03+0.00000000e+00j)  (4.22309287e+10+0.00000000e+00j)
 (3.92655221e-03+0.00000000e+00j)  (4.10729849e+10+0.00000000e+00j)
 (3.98962227e-03+0.00000000e+00j)  (3.85623269e+10+0.00000000e+00j)
 (4.05220479e-03+0.00000000e+00j)  (3.76413892e+10+0.00000000e+00j)
 (4.11518506e-03+0.00000000e+00j)  (3.59990834e+10+0.00000000e+00j)
 (4.17805919e-03+0.00000000e+00j)  (3.47960036e+10+0.00000000e+00j)
 (4.24052095e-03+0.00000000e+00j)  (3.37378165e+10+0.00000000e+00j)
 (4.30351860e-03+0.00000000e+00j)  (3.22738954e+10+0.00000000e+00j)
 (4.36642744e-03+0.00000000e+00j)  (3.08809568e+10+0.00000000e+00j)
 (4.42910285e-03+0.00000000e+00j)  (3.00046982e+10+0.00000000e+00j)
 (4.49177371e-03+0.00000000e+00j)  (2.85515474e+10+0.00000000e+00j)
 (4.55451257e-03+0.00000000e+00j)  (2.75061648e+10+0.00000000e+00j)
 (4.61768488e-03+0.00000000e+00j)  (2.67635000e+10+0.00000000e+00j)
 (4.68068469e-03+0.00000000e+00j)  (2.54912010e+10+0.00000000e+00j)
 (4.74352328e-03+0.00000000e+00j)  (2.48306239e+10+0.00000000e+00j)
 (4.80641165e-03+0.00000000e+00j)  (2.35545549e+10+0.00000000e+00j)
 (4.86910236e-03+0.00000000e+00j)  (2.29304840e+10+0.00000000e+00j)
 (4.93173258e-03+0.00000000e+00j)  (2.22071284e+10+0.00000000e+00j)
 (4.99452276e-03+0.00000000e+00j)  (2.11350320e+10+0.00000000e+00j)
 (5.05723483e-03+0.00000000e+00j)  (2.04720846e+10+0.00000000e+00j)
 (5.12004418e-03+0.00000000e+00j)  (1.96848371e+10+0.00000000e+00j)
 (5.18319853e-03+0.00000000e+00j)  (1.88292877e+10+0.00000000e+00j)
 (5.24617654e-03+0.00000000e+00j)  (1.80222601e+10+0.00000000e+00j)
 (5.30890043e-03+0.00000000e+00j)  (1.72357977e+10+0.00000000e+00j)
 (5.37166462e-03+0.00000000e+00j)  (1.65963734e+10+0.00000000e+00j)
 (5.43464696e-03+0.00000000e+00j)  (1.59838913e+10+0.00000000e+00j)
 (5.49749301e-03+0.00000000e+00j)  (1.53194055e+10+0.00000000e+00j)
 (5.56003710e-03+0.00000000e+00j)  (1.47586916e+10+0.00000000e+00j)
 (5.62296686e-03+0.00000000e+00j)  (1.41920290e+10+0.00000000e+00j)
 (5.68605489e-03+0.00000000e+00j)  (1.37335485e+10+0.00000000e+00j)
 (5.74881904e-03+0.00000000e+00j)  (1.31662742e+10+0.00000000e+00j)
 (5.81172849e-03+0.00000000e+00j)  (1.27098298e+10+0.00000000e+00j)
 (5.87456226e-03+0.00000000e+00j)  (1.20909609e+10+0.00000000e+00j)
 (5.93721274e-03+0.00000000e+00j)  (1.17976140e+10+0.00000000e+00j)
 (6.00001498e-03+0.00000000e+00j)  (1.12534859e+10+0.00000000e+00j)
 (6.06270705e-03+0.00000000e+00j)  (1.08588217e+10+0.00000000e+00j)
 (6.12549247e-03+0.00000000e+00j)  (1.04353853e+10+0.00000000e+00j)
 (6.18860854e-03+0.00000000e+00j)  (1.00850899e+10+0.00000000e+00j)
 (6.25144436e-03+0.00000000e+00j)  (9.55791308e+09+0.00000000e+00j)
 (6.31404742e-03+0.00000000e+00j)  (9.28831112e+09+0.00000000e+00j)
 (6.37701917e-03+0.00000000e+00j)  (8.98995321e+09+0.00000000e+00j)
 (6.43995582e-03+0.00000000e+00j)  (8.69208313e+09+0.00000000e+00j)
 (6.50278484e-03+0.00000000e+00j)  (8.35018434e+09+0.00000000e+00j)
 (6.56563973e-03+0.00000000e+00j)  (8.03344977e+09+0.00000000e+00j)
 (6.62843944e-03+0.00000000e+00j)  (7.68685187e+09+0.00000000e+00j)
 (6.69122961e-03+0.00000000e+00j)  (7.40771989e+09+0.00000000e+00j)
 (6.75411355e-03+0.00000000e+00j)  (7.18296741e+09+0.00000000e+00j)
 (6.81686446e-03+0.00000000e+00j)  (6.89327383e+09+0.00000000e+00j)
 (6.87962299e-03+0.00000000e+00j)  (6.62538277e+09+0.00000000e+00j)
 (6.94237709e-03+0.00000000e+00j)  (6.38283249e+09+0.00000000e+00j)
 (7.00518197e-03+0.00000000e+00j)  (6.18745124e+09+0.00000000e+00j)
 (7.06812827e-03+0.00000000e+00j)  (5.97056135e+09+0.00000000e+00j)
 (7.13102862e-03+0.00000000e+00j)  (5.76212494e+09+0.00000000e+00j)
 (7.19394750e-03+0.00000000e+00j)  (5.55863105e+09+0.00000000e+00j)
 (7.25685635e-03+0.00000000e+00j)  (5.40402316e+09+0.00000000e+00j)
 (7.31965989e-03+0.00000000e+00j)  (5.17217410e+09+0.00000000e+00j)
 (7.38251211e-03+0.00000000e+00j)  (5.02606192e+09+0.00000000e+00j)
 (7.44526604e-03+0.00000000e+00j)  (4.83425993e+09+0.00000000e+00j)
 (7.50787664e-03+0.00000000e+00j)  (4.67930476e+09+0.00000000e+00j)
 (7.57077211e-03+0.00000000e+00j)  (4.53095137e+09+0.00000000e+00j)
 (7.63366179e-03+0.00000000e+00j)  (4.36374526e+09+0.00000000e+00j)
 (7.69651121e-03+0.00000000e+00j)  (4.23584916e+09+0.00000000e+00j)
 (7.75943752e-03+0.00000000e+00j)  (4.12624794e+09+0.00000000e+00j)
 (7.82235133e-03+0.00000000e+00j)  (3.99212155e+09+0.00000000e+00j)
 (7.88542114e-03+0.00000000e+00j)  (3.89193567e+09+0.00000000e+00j)
 (7.94800890e-03+0.00000000e+00j)  (3.77615999e+09+0.00000000e+00j)
 (8.01051103e-03+0.00000000e+00j)  (3.67764558e+09+0.00000000e+00j)
