# k P(k) shot_noise
0.00000000e+00 0.00000000e+00 5.96046448e-02
8.89964132e-02 2.89807632e+03 5.96046448e-02
1.50791226e-01 1.48275260e+03 5.96046448e-02
2.14479026e-01 7.05219887e+02 5.96046448e-02
2.78366088e-01 4.85143530e+02 5.96046448e-02
3.43509997e-01 2.82301086e+02 5.96046448e-02
4.04788696e-01 2.14891572e+02 5.96046448e-02
4.67671689e-01 1.61726785e+02 5.96046448e-02
5.31061042e-01 1.35318637e+02 5.96046448e-02
5.94685997e-01 9.36170801e+01 5.96046448e-02
6.58767124e-01 7.87739098e+01 5.96046448e-02
7.20530626e-01 6.34604226e+01 5.96046448e-02
7.82786119e-01 5.10534343e+01 5.96046448e-02
8.47039927e-01 4.23037167e+01 5.96046448e-02
9.09685493e-01 3.41383687e+01 5.96046448e-02
9.72079014e-01 2.76549132e+01 5.96046448e-02
1.03476307e+00 2.28881272e+01 5.96046448e-02
1.09762745e+00 1.94718615e+01 5.96046448e-02
1.16095722e+00 1.72575061e+01 5.96046448e-02
1.22396971e+00 1.44197984e+01 5.96046448e-02
1.28711201e+00 1.28282851e+01 5.96046448e-02
1.35002498e+00 1.10736804e+01 5.96046448e-02
1.41270176e+00 9.42280634e+00 5.96046448e-02
1.47557634e+00 8.58227143e+00 5.96046448e-02
1.53786512e+00 7.59283730e+00 5.96046448e-02
1.60065759e+00 6.56029224e+00 5.96046448e-02
1.66407998e+00 5.97125760e+00 5.96046448e-02
1.72727186e+00 5.22365882e+00 5.96046448e-02
1.78976527e+00 4.86780090e+00 5.96046448e-02
1.85235375e+00 4.44730797e+00 5.96046448e-02
1.91480685e+00 4.05348309e+00 5.96046448e-02
1.97788992e+00 3.61499639e+00 5.96046448e-02
2.04107613e+00 3.28215756e+00 5.96046448e-02
2.10405967e+00 2.98666855e+00 5.96046448e-02
2.16694434e+00 2.76264986e+00 5.96046448e-02
2.22974346e+00 2.43810955e+00 5.96046448e-02
2.29272327e+00 2.28852396e+00 5.96046448e-02
2.35531343e+00 2.09733373e+00 5.96046448e-02
2.41811422e+00 1.93626927e+00 5.96046448e-02
2.48096828e+00 1.78529330e+00 5.96046448e-02
2.54349232e+00 1.66494161e+00 5.96046448e-02
2.60640598e+00 1.55063693e+00 5.96046448e-02
2.66934498e+00 1.42443293e+00 5.96046448e-02
2.73250793e+00 1.32013943e+00 5.96046448e-02
2.79562043e+00 1.23316293e+00 5.96046448e-02
2.85851940e+00 1.14627613e+00 5.96046448e-02
2.92103170e+00 1.08159329e+00 5.96046448e-02
2.98348408e+00 9.91870671e-01 5.96046448e-02
3.04648804e+00 9.49210811e-01 5.96046448e-02
3.10937413e+00 8.77795925e-01 5.96046448e-02
3.17228947e+00 8.33566923e-01 5.96046448e-02
3.23529746e+00 7.97431592e-01 5.96046448e-02
3.29823321e+00 7.39636182e-01 5.96046448e-02
3.36125757e+00 7.09987541e-01 5.96046448e-02
3.42373465e+00 6.70113992e-01 5.96046448e-02
3.48649090e+00 6.33666375e-01 5.96046448e-02
3.54941175e+00 6.02852046e-01 5.96046448e-02
3.61191707e+00 5.70157985e-01 5.96046448e-02
3.67476723e+00 5.44305046e-01 5.96046448e-02
3.73764793e+00 5.20178715e-01 5.96046448e-02
3.80065416e+00 4.87481593e-01 5.96046448e-02
3.86353999e+00 4.72973229e-01 5.96046448e-02
3.92625634e+00 4.57990055e-01 5.96046448e-02
3.98937047e+00 4.27820725e-01 5.96046448e-02
4.05207712e+00 4.14654720e-01 5.96046448e-02
4.11495262e+00 3.91364879e-01 5.96046448e-02
4.17784953e+00 3.79400630e-01 5.96046448e-02
4.24040399e+00 3.56201427e-01 5.96046448e-02
4.30347653e+00 3.42493337e-01 5.96046448e-02
4.36641519e+00 3.35535251e-01 5.96046448e-02
4.42903206e+00 3.21478099e-01 5.96046448e-02
4.49166335e+00 3.07809271e-01 5.96046448e-02
4.55450209e+00 2.92800737e-01 5.96046448e-02
4.61773506e+00 2.86010096e-01 5.96046448e-02
4.68075301e+00 2.73228478e-01 5.96046448e-02
4.74358845e+00 2.62216732e-01 5.96046448e-02
4.80651747e+00 2.53433198e-01 5.96046448e-02
4.86918416e+00 2.42648113e-01 5.96046448e-02
4.93175909e+00 2.35357176e-01 5.96046448e-02
4.99453793e+00 2.27039776e-01 5.96046448e-02
5.05722577e+00 2.18083551e-01 5.96046448e-02
5.11998559e+00 2.11735065e-01 5.96046448e-02
5.18312622e+00 2.04390489e-01 5.96046448e-02
5.24610721e+00 1.97238141e-01 5.96046448e-02
5.30880767e+00 1.91659248e-01 5.96046448e-02
5.37161058e+00 1.83998262e-01 5.96046448e-02
5.43465532e+00 1.79612209e-01 5.96046448e-02
5.49751370e+00 1.73877504e-01 5.96046448e-02
5.55996267e+00 1.68536233e-01 5.96046448e-02
5.62287140e+00 1.63619108e-01 5.96046448e-02
5.68601894e+00 1.58644502e-01 5.96046448e-02
5.74883554e+00 1.53906250e-01 5.96046448e-02
5.81170411e+00 1.49281020e-01 5.96046448e-02
5.87452361e+00 1.45943935e-01 5.96046448e-02
5.93718524e+00 1.41779840e-01 5.96046448e-02
5.99997212e+00 1.38947291e-01 5.96046448e-02
6.06272109e+00 1.35874066e-01 5.96046448e-02
6.12553436e+00 1.31517719e-01 5.96046448e-02
6.18853783e+00 1.28873326e-01 5.96046448e-02
6.25134460e+00 1.24912903e-01 5.96046448e-02
6.31405594e+00 1.22725551e-01 5.96046448e-02
6.37705972e+00 1.19983627e-01 5.96046448e-02
6.43992890e+00 1.17645282e-01 5.96046448e-02
6.50272605e+00 1.15740126e-01 5.96046448e-02
6.56559003e+00 1.12871799e-01 5.96046448e-02
6.62838894e+00 1.10719256e-01 5.96046448e-02
6.69120091e+00 1.08616378e-01 5.96046448e-02
6.75407562e+00 1.07352697e-01 5.96046448e-02
6.81685815e+00 1.03842306e-01 5.96046448e-02
6.87961244e+00 1.02641105e-01 5.96046448e-02
6.94241998e+00 1.01298417e-01 5.96046448e-02
7.00524312e+00 9.96893706e-02 5.96046448e-02
7.06812517e+00 9.83100915e-02 5.96046448e-02
7.13101923e+00 9.62830752e-02 5.96046448e-02
7.19393849e+00 9.46853954e-02 5.96046448e-02
7.25685335e+00 9.31784170e-02 5.96046448e-02
7.31965292e+00 9.17606395e-02 5.96046448e-02
7.38250822e+00 9.00234045e-02 5.96046448e-02
7.44526607e+00 8.94509124e-02 5.96046448e-02
7.50787133e+00 8.81854963e-02 5.96046448e-02
7.57076986e+00 8.71500191e-02 5.96046448e-02
7.63365215e+00 8.57262164e-02 5.96046448e-02
7.69647641e+00 8.49435489e-02 5.96046448e-02
7.75940767e+00 8.32440529e-02 5.96046448e-02
7.82232938e+00 8.24049785e-02 5.96046448e-02
7.88534300e+00 8.16318889e-02 5.96046448e-02
7.94793718e+00 8.08019336e-02 5.96046448e-02
8.01050337e+00 7.93635223e-02 5.96046448e-02
