# k P(k) shot_noise
8.89964132e-02 6.58839603e+03 7.45058060e-03
1.50791226e-01 3.56321496e+03 7.45058060e-03
2.14479026e-01 1.86019956e+03 7.45058060e-03
2.78366088e-01 1.42525200e+03 7.45058060e-03
3.43509997e-01 1.00088171e+03 7.45058060e-03
4.04788696e-01 8.48093684e+02 7.45058060e-03
4.67671689e-01 7.33250339e+02 7.45058060e-03
5.31061042e-01 6.55613819e+02 7.45058060e-03
5.94685997e-01 5.71255047e+02 7.45058060e-03
6.58767124e-01 5.42019648e+02 7.45058060e-03
7.20530626e-01 4.99351830e+02 7.45058060e-03
7.82786119e-01 4.60239435e+02 7.45058060e-03
8.47039927e-01 4.53932322e+02 7.45058060e-03
9.09685493e-01 4.00854561e+02 7.45058060e-03
9.72079014e-01 3.72667331e+02 7.45058060e-03
1.03476307e+00 3.50402828e+02 7.45058060e-03
1.09762745e+00 3.30794729e+02 7.45058060e-03
1.16095722e+00 3.20482901e+02 7.45058060e-03
1.22396971e+00 2.97689959e+02 7.45058060e-03
1.28711201e+00 2.83289136e+02 7.45058060e-03
1.35002498e+00 2.57683807e+02 7.45058060e-03
1.41270176e+00 2.51831019e+02 7.45058060e-03
1.47557634e+00 2.49489276e+02 7.45058060e-03
1.53786512e+00 2.35379495e+02 7.45058060e-03
1.60065759e+00 2.18542677e+02 7.45058060e-03
1.66407998e+00 2.15256707e+02 7.45058060e-03
1.72727186e+00 2.03858120e+02 7.45058060e-03
1.78976527e+00 1.97656015e+02 7.45058060e-03
1.85235375e+00 1.85192831e+02 7.45058060e-03
1.91480685e+00 1.83322504e+02 7.45058060e-03
1.97788992e+00 1.76439428e+02 7.45058060e-03
2.04107613e+00 1.68129824e+02 7.45058060e-03
2.10405967e+00 1.61331954e+02 7.45058060e-03
2.16694434e+00 1.52818863e+02 7.45058060e-03
2.22974346e+00 1.49427593e+02 7.45058060e-03
2.29272327e+00 1.46056514e+02 7.45058060e-03
2.35531343e+00 1.36926467e+02 7.45058060e-03
2.41811422e+00 1.33931595e+02 7.45058060e-03
2.48096828e+00 1.27250038e+02 7.45058060e-03
2.54349232e+00 1.21036221e+02 7.45058060e-03
2.60640598e+00 1.15854901e+02 7.45058060e-03
2.66934498e+00 1.12556591e+02 7.45058060e-03
2.73250793e+00 1.09769973e+02 7.45058060e-03
2.79562043e+00 1.06192642e+02 7.45058060e-03
2.85851940e+00 1.03658806e+02 7.45058060e-03
2.92103170e+00 9.89558620e+01 7.45058060e-03
2.98348408e+00 9.62485595e+01 7.45058060e-03
3.04648804e+00 9.20853347e+01 7.45058060e-03
3.10937413e+00 8.75951930e+01 7.45058060e-03
3.17228947e+00 8.76101077e+01 7.45058060e-03
3.23529746e+00 8.36900826e+01 7.45058060e-03
3.29823321e+00 8.08251466e+01 7.45058060e-03
3.36125757e+00 7.87499655e+01 7.45058060e-03
3.42373465e+00 7.49989092e+01 7.45058060e-03
3.48649090e+00 7.37974061e+01 7.45058060e-03
3.54941175e+00 7.19097024e+01 7.45058060e-03
3.61191707e+00 6.89224938e+01 7.45058060e-03
3.67476723e+00 6.71227950e+01 7.45058060e-03
3.73764793e+00 6.50023233e+01 7.45058060e-03
3.80065416e+00 6.42851143e+01 7.45058060e-03
3.86353999e+00 6.19195293e+01 7.45058060e-03
3.92625634e+00 6.10486199e+01 7.45058060e-03
3.98937047e+00 5.80347025e+01 7.45058060e-03
4.05207712e+00 5.74084430e+01 7.45058060e-03
4.11495262e+00 5.56080685e+01 7.45058060e-03
4.17784953e+00 5.44790906e+01 7.45058060e-03
4.24040399e+00 5.36068947e+01 7.45058060e-03
4.30347653e+00 5.19988867e+01 7.45058060e-03
4.36641519e+00 5.04489294e+01 7.45058060e-03
4.42903206e+00 4.97173120e+01 7.45058060e-03
4.49166335e+00 4.80057814e+01 7.45058060e-03
4.55450209e+00 4.69643727e+01 7.45058060e-03
4.61773506e+00 4.63677805e+01 7.45058060e-03
4.68075301e+00 4.48507438e+01 7.45058060e-03
4.74358845e+00 4.43591773e+01 7.45058060e-03
4.80651747e+00 4.27511212e+01 7.45058060e-03
4.86918416e+00 4.22904363e+01 7.45058060e-03
4.93175909e+00 4.15544850e+01 7.45058060e-03
4.99453793e+00 4.02456999e+01 7.45058060e-03
5.05722577e+00 3.96232494e+01 7.45058060e-03
5.11998559e+00 3.87020890e+01 7.45058060e-03
5.18312622e+00 3.76555884e+01 7.45058060e-03
5.24610721e+00 3.66692083e+01 7.45058060e-03
5.30880767e+00 3.56691218e+01 7.45058060e-03
5.37161058e+00 3.49620518e+01 7.45058060e-03
5.43465532e+00 3.42778906e+01 7.45058060e-03
5.49751370e+00 3.34215612e+01 7.45058060e-03
5.55996267e+00 3.27777978e+01 7.45058060e-03
5.62287140e+00 3.21114788e+01 7.45058060e-03
5.68601894e+00 3.16313078e+01 7.45058060e-03
5.74883554e+00 3.08026099e+01 7.45058060e-03
5.81170411e+00 3.03287810e+01 7.45058060e-03
5.87452361e+00 2.94523055e+01 7.45058060e-03
5.93718524e+00 2.92807178e+01 7.45058060e-03
5.99997212e+00 2.84501393e+01 7.45058060e-03
6.06272109e+00 2.79539691e+01 7.45058060e-03
6.12553436e+00 2.74221544e+01 7.45058060e-03
6.18853783e+00 2.69677951e+01 7.45058060e-03
6.25134460e+00 2.60986918e+01 7.45058060e-03
6.31405594e+00 2.58554594e+01 7.45058060e-03
6.37705972e+00 2.54672325e+01 7.45058060e-03
6.43992890e+00 2.51441983e+01 7.45058060e-03
6.50272605e+00 2.46459047e+01 7.45058060e-03
6.56559003e+00 2.41408674e+01 7.45058060e-03
6.62838894e+00 2.35601704e+01 7.45058060e-03
6.69120091e+00 2.32055212e+01 7.45058060e-03
6.75407562e+00 2.29191513e+01 7.45058060e-03
6.81685815e+00 2.24090940e+01 7.45058060e-03
6.87961244e+00 2.19552988e+01 7.45058060e-03
6.94241998e+00 2.15086254e+01 7.45058060e-03
7.00524312e+00 2.12981621e+01 7.45058060e-03
7.06812517e+00 2.08968294e+01 7.45058060e-03
7.13101923e+00 2.05957102e+01 7.45058060e-03
7.19393849e+00 2.02208354e+01 7.45058060e-03
7.25685335e+00 2.00090721e+01 7.45058060e-03
7.31965292e+00 1.95341888e+01 7.45058060e-03
7.38250822e+00 1.93463588e+01 7.45058060e-03
7.44526607e+00 1.89168019e+01 7.45058060e-03
7.50787133e+00 1.86282344e+01 7.45058060e-03
7.57076986e+00 1.82980517e+01 7.45058060e-03
7.63365215e+00 1.79257216e+01 7.45058060e-03
7.69647641e+00 1.77144307e+01 7.45058060e-03
7.75940767e+00 1.75186486e+01 7.45058060e-03
7.82232938e+00 1.71992964e+01 7.45058060e-03
7.88534300e+00 1.70125930e+01 7.45058060e-03
7.94793718e+00 1.67044289e+01 7.45058060e-03
8.01050337e+00 1.65342291e+01 7.45058060e-03
